playlist,name,artist,album
Best of Pete Seeger,John Hardy,Pete Seeger,American Ballads
Best of Pete Seeger,Barbara Allen,Pete Seeger,American Ballads
Best of Pete Seeger,Pittsburgh Town,Pete Seeger,"Pete Seeger, The Legend [Disc 2]"
Best of Pete Seeger,Banjo Medley: Cripple Creek / Old Joe Clark / Leather Britches,Pete Seeger,We Shall Overcome: The Complete Carnegie Hall Concert (disc 1)
Best of Pete Seeger,Mrs. McGrath,Pete Seeger,We Shall Overcome: The Complete Carnegie Hall Concert (disc 1)
Best of Pete Seeger,Peg And Awl,Pete Seeger,"Pete Seeger, The Legend [Disc 2]"
Best of Pete Seeger,Winsborro Cotton Mill Blues,Pete Seeger,"Pete Seeger, The Legend [Disc 2]"
Best of Pete Seeger,Keep Your Eyes on the Prize,Pete Seeger,We Shall Overcome: The Complete Carnegie Hall Concert (disc 1)
Best of The Mountain Goats,Going to Maine,The Mountain Goats,Ghana
Best of The Mountain Goats,Going to Port Washington,The Mountain Goats,Ghana
Best of The Mountain Goats,Half Dead,The Mountain Goats,Get Lonely
Best of The Mountain Goats,Cubs In Five,The Mountain Goats,Nine Black Poppies
Best of The Mountain Goats,Prowl Great Cain,The Mountain Goats,All Eternals Deck
Best of The Mountain Goats,High Hawk Season feat. North Mountain Singers,The Mountain Goats,All Eternals Deck
Best of The Mountain Goats,Matthew 25:21,The Mountain Goats,The Life Of The World To Come
Best of The Mountain Goats,The Best Ever Death Metal Band In Denton,The Mountain Goats,All Hail West Texas
Best of The Mountain Goats,Fall of the Star High School Running Back,The Mountain Goats,All Hail West Texas
Best of The Mountain Goats,Jenny,The Mountain Goats,All Hail West Texas
Best of The Mountain Goats,Riches and Wonders,The Mountain Goats,All Hail West Texas
Best of The Mountain Goats,"No, I Can't",The Mountain Goats,Bitter Melon Farm
Best of The Mountain Goats,Collasping Stars,The Mountain Goats,Dilaudid EP
Best of The Mountain Goats,Get Lonely,The Mountain Goats,Get Lonely
Best of The Mountain Goats,This Year,The Mountain Goats,The Sunset Tree
Best of The Mountain Goats,Cotton,The Mountain Goats,We Shall All Be Healed
Best of The Mountain Goats,Going to Georgia,The Mountain Goats,Zopilote Machine
Best of The Mountain Goats,New Chevrolet In Flames,The Mountain Goats,Postcambrian Geology
Best of The Mountain Goats,Attention All Pickpockets,The Mountain Goats,Postcambrian Geology
Best of The Mountain Goats,First Few Desperate Hours,The Mountain Goats,Tallahassee
Best of The Mountain Goats,Game Shows Touch Our Lives,The Mountain Goats,Tallahassee
Best of The Mountain Goats,Idylls of the King,The Mountain Goats,Tallahassee
Best of The Mountain Goats,No Children,The Mountain Goats,Tallahassee
Best of The Mountain Goats,See America Right,The Mountain Goats,Tallahassee
Best of The Mountain Goats,Jam Eater Blues,The Mountain Goats,"[untitled] (Sub-Pop single collection) 7"""
Best of The Mountain Goats,Family Happiness,The Mountain Goats,The Coroner's Gambit
Best of The Mountain Goats,Baboon,The Mountain Goats,The Coroner's Gambit
Best of The Mountain Goats,Golden Boy,The Mountain Goats,Ghana
Best of The Mountain Goats,Onions,The Mountain Goats,The Coroner's Gambit
Best of The Mountain Goats,Shadow Song,The Mountain Goats,The Coroner's Gambit
Best of The Mountain Goats,Alphonse Mambo,The Mountain Goats,The Coroner's Gambit
Best of The Mountain Goats,You Were Cool [Live],The Mountain Goats,Live At Carnegie Hall 15-01-13
Mafia II OST,The Closer to the Bone,Louis Prima,Mafia II OST
Mafia II OST,"Ooh, Baby, Ooh",Dave Appell and The Applejacks,Mafia II OST
Mafia II OST,The Peanut Vendor,Perez Prado,Mafia II OST
Mafia II OST,Return to Me,Dean Martin,Mafia II OST
Mafia II OST,Springtime in Monaco,Billy Merman,Mafia II OST
Mafia II OST,That's Amore,Dean Martin,Mafia II OST
Mafia II OST,When You're Smiling,Louis Prima,Mafia II OST
Mafia II OST,After the Lights Go Down Low,Albert Hibbler,Mafia II OST
Mafia II OST,Ain't That a Kick in the Head?,Dean Martin,Mafia II OST
Mafia II OST,Auf Wiederseh’n Sweetheart,Les Baxter,Mafia II OST
Mafia II OST,The Book of Love,The Monotones,Mafia II OST
Mafia II OST,Che La Luna,Louis Prima,Mafia II OST
Mafia II OST,Chow Mein,The Gaylords,Mafia II OST
Mafia II OST,Count Every Star,Albert Hibbler,Mafia II OST
Mafia II OST,Jezebel,Frankie Laine,Mafia II OST
Mafia II OST,Let the Good Times Roll,Sam Butera and The Witnesses,Mafia II OST
Mafia II OST,Makin' Whoopee!,Doris Day,Mafia II OST
Mafia II OST,Mambo Italiano,Rosemary Clooney,Mafia II OST
Mafia II OST,Manhattan Spiritual,Reg Owen Orchestra,Mafia II OST
Mafia II OST,My Bonnie Lassie,The Ames Brothers,Mafia II OST
Mafia II OST,My Guardian Angel,Jim Breedlove,Mafia II OST
